,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,target
0,-459.29727,66.89882,-5.760671,5.5550213,-1.8884625,-3.1997552,4.5383124,-6.212898,-2.078034,-0.39747348,-6.365379,-3.061685,-3.0690598,-2.514632,-4.7621665,-6.692915,0.7213376,-0.7389265,-4.9326873,-1.7497647,-2.0850978,-2.1718116,-2.7052174,-4.503431,-1.2159395,-0.19271523,-2.1896958,-1.6350108,-1.5929186,-1.7317542,-1.647928,-2.7540553,-2.2272472,-1.4751613,-2.5366755,-1.8873588,-1.2708083,-2.091724,-1.1521975,-1.7675714,Rohith
1,-438.00162,64.681015,-5.6494145,8.769275,1.6286101,-0.9764253,4.871937,-5.729302,-1.0606104,-1.8342661,-8.1699915,-4.2085443,-6.262618,-4.0074925,-1.99302,-4.165839,1.1150446,-1.3436052,-5.2410784,-0.8851337,-2.0423415,-3.1518738,-2.5258825,-4.2548065,-1.2930183,0.55880916,-1.7877059,-1.4002501,-1.1755573,-2.5032308,-2.7376287,-3.534719,-2.9340153,-1.3974601,-2.815334,-2.7607594,-1.5072476,-2.6809506,-1.7889218,-1.0835878,Rohith
2,-431.15076,63.368614,-10.875473,6.0080757,6.252224,-2.2486284,2.1836085,-4.3169518,-3.6521056,-2.7530472,-6.065288,-4.117092,-3.873608,-0.6272908,-1.4593514,-5.3384485,0.464176,-0.2603522,-5.7336555,-2.815984,-1.9881315,-2.8789825,-2.4653778,-3.29105,-1.2514495,-0.17480671,-1.8878207,-1.5759058,-1.6044002,-2.4576132,-1.9455479,-2.357189,-2.989939,-1.803048,-1.6165984,-2.3855603,-1.7259401,-1.46161,-1.5398222,-1.2121971,Rohith
3,-416.62183,73.08554,-12.214887,6.5720987,5.50605,-5.071382,3.7501163,-3.561679,-6.6601815,-4.341175,-7.07672,-5.331313,-3.773226,-0.67183894,-1.7257395,-5.845058,-0.06273034,0.78208417,-5.807125,-5.37435,-2.983902,-2.7189245,-4.23142,-4.761157,-0.8608486,-0.007793161,-2.4102035,-1.9928062,-1.4577628,-2.4162335,-2.8952844,-2.321722,-2.287575,-2.8783786,-1.8979777,-1.6655107,-3.325924,-3.2137423,-2.0299237,-2.2810128,Rohith
4,-413.9434,61.104652,-12.2143,12.671153,1.4026189,-2.0762436,6.1879997,-7.1435294,-1.5930325,-4.1633506,-9.369551,-0.06319439,-4.7061186,-5.0275,-2.9564278,-6.482833,-0.19354795,-0.38135123,-3.2659876,-1.2405943,-2.673483,-0.37354043,-1.6870914,-5.217729,-1.4115874,-1.1452086,-2.7807117,-2.2503748,-2.6308427,-2.1849394,-2.5438888,-2.4472022,-2.3460684,-2.8151865,-1.863507,-2.7164555,-2.39038,-1.1348217,-2.9443781,-2.4174788,Rohith
5,-445.13885,44.64915,-35.928024,-7.348149,-13.99426,-10.452303,-1.9572757,-13.892269,-3.6817007,-5.4714437,-4.0809565,5.2658734,-5.026163,-0.6736854,0.8215782,-6.5206933,1.6423393,-2.2843924,-6.323456,1.5052067,-1.7979594,-5.16675,-4.297692,-4.207487,-0.90046334,-1.1905847,-2.277159,1.6161484,2.962302,1.4518049,3.131273,2.8777843,-0.1494188,0.46972153,0.7823497,1.3145299,2.047858,-1.0746002,-0.37007466,0.5012158,sample1
6,-529.17,21.939665,-13.756134,4.043709,-8.49415,-7.662317,3.099771,-8.579532,-5.0466366,-0.961819,-4.482863,0.80058366,-1.1215296,-2.9007452,0.5048281,-1.5731336,-0.93783367,2.1543736,0.29947275,-3.0496492,-2.277342,0.09615331,-0.8775097,-1.2550296,-0.73578435,-1.7345153,-1.486236,-0.868163,-1.1148529,-1.6750869,-1.1456921,0.5229781,0.52832353,0.9244156,2.1684494,1.8471715,0.9889314,-0.4593493,-0.665575,0.28167185,sample1
7,-449.65643,48.250095,-28.236704,-9.336703,-11.588292,-11.309127,-1.375236,-12.344752,-7.6359544,-4.338921,-6.849506,1.4253858,-2.7958803,-4.6342015,2.2612846,-0.60567415,0.024954258,1.637232,-4.3116665,-5.460016,-1.827333,-0.4756815,-1.1172295,-1.0419897,-1.0099249,-2.429251,-2.9699757,-2.1644435,-0.93551934,-1.3036809,-1.7429049,0.5653282,0.81213576,0.61426806,2.38455,1.1157753,0.45466703,1.2584686,0.4633252,1.4428109,sample1
8,-435.13504,47.18245,-52.265423,-5.557648,-5.040718,-14.891511,0.262333,-9.474235,-7.3915167,-5.8704987,-7.332531,3.1900349,-2.0317478,-3.2163906,2.4752195,-4.4213834,-2.8193898,2.1127126,-2.122029,-3.5842214,-2.1089673,-1.6649381,-2.22823,-3.8147411,-3.9956276,-1.0602955,-0.14323762,-2.8885,-1.7706738,-1.0353042,-2.3511999,1.5388461,3.121751,1.6117319,2.3709028,0.8773232,0.6173467,2.023468,0.7965373,0.9710039,sample1
9,-468.63513,45.493267,-46.684128,5.056661,-6.865637,-18.219494,-0.9642084,-10.839306,-5.478483,-6.184402,-7.2609673,3.2269478,-3.3073618,-1.0836195,1.434195,-4.997073,1.5841131,0.664662,-6.299435,-4.8445406,-3.116843,-0.46766645,-1.7179835,-5.324216,-3.0194662,-1.2780308,-3.277331,-2.7965934,-0.43348277,-1.3504207,0.6171675,4.288932,2.1199124,2.594186,2.759946,-1.0013847,1.0763144,2.1164012,0.89088774,2.3813565,sample1
