,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,target
0,-358.9416198730469,23.382530212402344,5.308766841888428,-27.180208206176758,3.6657583713531494,-20.284399032592773,-5.3658552169799805,-2.984586000442505,-1.9749400615692139,-1.550214171409607,-7.798013687133789,-8.569780349731445,-8.780134201049805,-4.422727584838867,-5.367856502532959,-3.347839593887329,-9.72842025756836,-5.579399585723877,-6.490900993347168,-3.8725154399871826,-9.740933418273926,-5.347276210784912,-2.341015577316284,6.49921989440918,14.364084243774414,4.507721424102783,0.5102437734603882,3.5323879718780518,-1.9019640684127808,0.050139252096414566,0.5988702774047852,-4.638324737548828,-2.0350112915039062,3.617678165435791,-5.591161251068115,1.535373568534851,0.28509172797203064,-1.327414870262146,-0.3451399505138397,0.4123270809650421,Rohith
1,-334.24673,37.60925,13.252011,-23.204441,4.9581623,-10.823922,-7.2586355,-0.023888616,-8.647794,-6.6206985,-7.125369,-6.03509,-9.966281,-6.8235464,-10.245999,-8.418992,-5.6177654,-4.0844955,-7.3069024,-9.155927,-8.769319,7.585547,9.801053,5.5910397,-2.7379181,0.10120059,-0.5939022,2.3333035,-0.99943185,1.0451771,-0.94198096,0.62888324,-3.3458118,-3.1820695,0.6244946,-1.026366,-1.4027629,1.5152327,-2.6392658,-1.170673,Rohith
2,-293.8284,20.848694,-11.027206,-40.11761,-6.052508,-25.057959,-7.7543716,8.094802,-2.9365559,-8.038278,-6.2169633,-9.617807,-13.9147005,-8.319756,-6.8374596,0.1103721,-10.451629,-7.0842123,6.004614,8.018337,3.176342,6.1162925,9.630925,3.8459277,-9.084316,-0.7326835,-1.9818283,3.60185,1.9044424,-1.5043827,-1.1368424,-4.2906933,-0.0339452,0.3056597,-3.2224402,-2.2883668,0.95774746,2.3116956,-1.3116534,3.0970926,Rohith
3,-308.80826,15.079944,-7.4589214,-16.837494,11.510794,-21.772932,-10.919618,3.7518232,-9.120207,-5.7589297,-6.464414,-6.8977337,-8.495051,-5.354221,-9.228237,-4.3122725,-4.303603,5.326619,4.9596176,5.5508204,-3.166434,2.091573,2.7681892,-0.89868027,-4.263678,0.6634931,-3.3551588,0.74692506,-2.5583382,-1.4294876,1.832127,-2.251235,2.4847388,0.41875005,-0.59357214,-0.32867333,-0.99747694,0.81363046,-1.3624161,2.7625616,Rohith
4,-346.51904,21.28074,6.010137,-22.905323,1.1990871,-9.5629225,-3.2077756,-2.8747218,-10.8327265,-3.084211,-6.5113707,-5.698781,-7.1714616,-5.427412,-10.013411,-8.873355,-7.2680826,-7.676684,-8.137398,4.880541,14.934872,14.55736,0.16152118,3.4479547,-1.2554355,-3.6228552,0.29952598,0.39846,0.0928057,1.2325944,-2.1579127,0.5000989,-3.1886275,-2.5500746,0.102289855,-3.1596298,-4.2746315,-2.312276,0.14811756,2.5994167,Rohith
5,-314.58517,17.619293,0.33027104,-31.332747,-0.6107451,-16.386044,-0.788934,-4.6616864,-8.643881,-5.634483,-9.454428,-2.3013732,-7.776075,-10.564967,-11.172703,-3.0030699,-14.431684,-8.690445,8.561813,20.163826,10.41538,5.1181087,4.64523,2.9079978,-7.602057,-1.1326872,-1.2159544,1.596524,-0.010659218,-1.8747809,0.5312848,-4.546876,-2.482097,-0.6367497,-3.7749949,-1.0875778,-3.5536067,1.5158424,0.47064033,4.3470006,Rohith
6,-329.7052,12.806605,-5.005239,-18.693003,5.965118,-16.92623,-7.3392944,1.4435838,-3.7316937,-5.641753,-9.127457,-3.3606172,-5.919003,-5.6748056,-14.012285,-2.1162748,-14.49993,-8.561264,-2.9317913,13.21559,14.230217,3.534232,-0.948542,1.2515619,-7.4625173,-1.6957824,-1.6832676,-0.931269,-1.5914148,1.7261198,-2.3703961,-0.5909048,-5.2512155,0.29735282,-3.4123778,-1.0390314,-2.5765054,-0.9721174,4.0464487,4.449664,Rohith
7,-312.68646,4.3610168,-9.280036,-39.817078,-11.705946,-30.943785,-21.96697,-3.4846177,8.850917,16.609592,3.0797513,2.298442,-11.933603,-1.2884861,-5.2852697,-4.589485,-0.4457464,-0.8271054,-0.23270917,1.081852,-3.4418821,0.43259376,1.1413785,2.9395678,-4.946768,-4.3065925,-1.0373737,-0.376691,0.07529926,1.3021544,2.5780714,1.2459188,0.048607334,1.7510943,-0.71314096,0.92666954,-4.1646547,1.907682,-0.8291431,2.0018167,Raju
8,-271.2647,-3.4239388,-25.250347,-48.83961,-13.850282,-34.340557,-30.280573,-13.204658,18.83713,9.926714,6.2281966,3.6420372,-10.646649,0.59693885,-4.852247,4.8740463,-6.9569197,4.1411443,4.296801,1.6430721,-5.658938,0.929117,-1.8480383,1.1693826,-1.0609277,-2.3591723,-1.3908799,-0.6485363,2.5166671,6.29568,-0.34409717,1.4819226,-0.7534952,0.8676569,-2.117076,1.0468482,0.64684004,0.8721428,-1.7887931,4.087211,Raju
9,-249.53624,-4.7057185,-29.005676,-35.263306,-13.332061,-28.430866,-26.995684,0.87128067,17.624163,7.8349023,8.00271,4.2442846,-12.907583,-2.328241,-10.485934,-1.1833243,-11.186294,-3.3085806,-0.09518683,-5.3500934,-7.6000333,2.113187,6.0204597,3.5893857,-1.7974182,-6.818258,1.1021013,-0.23962405,-0.65371954,3.3259428,-0.035354204,-0.75994945,-3.1688745,1.7298307,-0.7187681,2.1497867,0.40495554,-0.73688525,-2.0251606,5.0404778,Raju
